uid,event_name,event_time
1,pageview,2022-01-01 08:08:00
1,add_to_cart,2022-01-01 08:13:00
1,checkout,2022-01-01 08:18:00
2,pageview,2022-01-01 08:10:00
2,add_to_cart,2022-01-01 08:15:00
3,pageview,2022-01-01 08:54:00
4,pageview,2022-01-01 08:12:00
4,checkout,2022-01-01 08:22:00
5,pageview,2022-01-01 08:26:00
5,add_to_cart,2022-01-01 08:31:00
5,checkout,2022-01-01 08:36:00
5,payment,2022-01-01 08:41:00
6,pageview,2022-01-01 08:45:00
6,checkout,2022-01-01 08:55:00
6,payment,2022-01-01 09:00:00
7,pageview,2022-01-01 08:25:00
7,add_to_cart,2022-01-01 08:30:00
8,pageview,2022-01-01 08:08:00
8,add_to_cart,2022-01-01 08:13:00
8,checkout,2022-01-01 08:18:00
8,payment,2022-01-01 08:23:00
9,pageview,2022-01-01 08:58:00
9,add_to_cart,2022-01-01 09:03:00
9,checkout,2022-01-01 09:08:00
10,pageview,2022-01-01 08:22:00
10,add_to_cart,2022-01-01 08:27:00
