event_name,uid
chat_message,147
pageview,160
pageview,181
pageview,196
pageview,131
pageview,104
pageview,187
pageview,169
chat_message,160
pageview,173
chat_message,154
success,108
chat_message,168
chat_message,104
success,102
chat_message,156
chat_message,125
chat_message,173
success,124
chat_message,168
success,142
success,158
success,182
success,112
pageview,116
success,123
chat_message,181
success,113
success,110
success,105
pageview,180
success,183
chat_message,134
chat_message,179
success,165
success,165
pageview,166
chat_message,110
pageview,111
success,104
success,117
pageview,189
success,162
chat_message,178
chat_message,170
pageview,162
chat_message,156
chat_message,185
success,191
success,174
