user_id,activity_date
1,2022-02-01
1,2022-01-03
1,2022-01-28
2,2022-01-14
2,2022-01-20
2,2022-01-30
2,2022-02-01
2,2022-01-30
2,2022-01-30
2,2022-01-24
2,2022-01-09
3,2022-01-23
3,2022-02-03
3,2022-02-04
3,2022-01-30
3,2022-01-07
4,2022-01-14
4,2022-01-27
4,2022-01-16
4,2022-01-28
4,2022-01-23
4,2022-01-16
5,2022-01-30
5,2022-01-16
5,2022-01-23
5,2022-01-13
5,2022-01-18
5,2022-01-12
5,2022-01-28
5,2022-01-30
5,2022-01-30
6,2022-01-18
6,2022-01-29
6,2022-01-20
6,2022-01-21
6,2022-01-23
6,2022-01-11
6,2022-01-25
6,2022-01-24
6,2022-02-03
7,2022-01-06
7,2022-01-23
7,2022-01-20
7,2022-01-16
7,2022-01-22
7,2022-01-01
7,2022-01-19
8,2022-01-26
8,2022-01-21
8,2022-01-08
8,2022-01-14
8,2022-01-17
8,2022-01-09
9,2022-01-10
9,2022-01-16
9,2022-01-10
9,2022-01-24
9,2022-01-17
10,2022-01-05
10,2022-01-23
10,2022-01-25
10,2022-01-24
10,2022-01-08
