event_name,uid
success,139
chat_message,183
chat_message,196
success,108
pageview,172
success,119
chat_message,151
pageview,195
chat_message,172
success,111
success,120
chat_message,104
success,139
chat_message,137
pageview,100
chat_message,172
pageview,102
chat_message,161
pageview,116
chat_message,157
success,164
chat_message,103
chat_message,170
pageview,186
success,171
pageview,147
success,119
pageview,112
pageview,102
success,192
pageview,190
pageview,174
chat_message,135
chat_message,126
pageview,156
pageview,171
chat_message,143
chat_message,186
pageview,146
success,192
pageview,100
pageview,104
chat_message,135
chat_message,137
pageview,184
pageview,163
chat_message,128
pageview,136
pageview,184
pageview,192
