created_on,operation,property_type,place_with_parent_names,lat-lon,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,floor,rooms,expenses,properati_url,barrio,comuna
2017-09-22,sell,house,|Argentina|Capital Federal|Palermo|Palermo Viejo|,"-34.5889531469,-58.4298817776",-34.5889531469,-58.4298817776,2000000.0,312.0,,6410.25641025641,,,,https://www.properati.com.ar/2os_venta_casa_palermo-viejo_rent-ba,PALERMO,14.0
2017-08-01,sell,store,|Argentina|Capital Federal|Palermo|,"-34.586069,-58.414431",-34.586069,-58.41443100000001,790000.0,121.0,121.0,6528.925619834711,,,,https://www.properati.com.ar/1cl7l_venta_local_palermo_santa-fe-av-al-3500_sotano_garage_subte-linea-d_deptos-temporarios,PALERMO,14.0
2017-08-02,sell,store,|Argentina|Capital Federal|Palermo|Palermo Soho|,"-34.589723,-58.4325664",-34.589723,-58.4325664,343000.0,122.0,108.0,2811.475409836065,,2.0,,https://www.properati.com.ar/1cm8w_venta_local_palermo-soho_cabrera-jose-a-_5000_jardin_lavadero_patio_piscina_toilette_garage_ojo-propiedades,PALERMO,14.0
2017-08-03,sell,store,|Argentina|Capital Federal|Palermo|,"-34.5923646,-58.4144028",-34.5923646,-58.41440279999999,145000.0,24.0,24.0,6041.666666666668,,,,https://www.properati.com.ar/1covk_venta_local_palermo_paraguay-al-3500_subte-linea-d_brick-propiedades-local-alto-palermo,PALERMO,14.0
2017-08-08,sell,store,|Argentina|Capital Federal|Barrio Norte|,"-34.585652875,-58.4114933233",-34.585652875,-58.4114933233,175000.0,24.0,24.0,7291.666666666668,,,,https://www.properati.com.ar/1csk7_venta_local_barrio-norte_subte-linea-d_aranalfe_e1j,PALERMO,14.0
2017-08-09,sell,store,|Argentina|Capital Federal|Palermo|,"-34.57582474,-58.43432236",-34.57582474,-58.43432236,120000.0,30.0,30.0,4000.0,1.0,,,https://www.properati.com.ar/1cw7a_venta_local_palermo_av-santa-fe_5300_garage_subte-linea-d_solucion-inmobiliaria_gx3,PALERMO,14.0
2017-08-11,sell,store,|Argentina|Capital Federal|Belgrano|,"-34.5739059,-58.4391946",-34.5739059,-58.4391946,100000.0,26.0,,3846.1538461538457,,,,https://www.properati.com.ar/1d36i_venta_local_belgrano_dumont-santos_2400_luminoso_impecable_subte-linea-d_urbana-consultores-inmobiliarios,PALERMO,14.0
2017-08-11,sell,store,|Argentina|Capital Federal|Palermo|,"-34.5729833,-58.4388579",-34.5729833,-58.4388579,390000.0,57.0,57.0,6842.105263157896,,,,https://www.properati.com.ar/1d3k8_venta_local_palermo_cabildo-av-_200_garage_estrenar_subte-linea-d_triada-propiedades,PALERMO,14.0
2017-08-12,sell,store,|Argentina|Capital Federal|Palermo|,"-34.5956086,-58.4247641",-34.5956086,-58.424764100000004,110000.0,48.0,48.0,2291.6666666666665,,,,https://www.properati.com.ar/1d5sl_venta_local_palermo_zappone-inmobiliaria,PALERMO,14.0
2017-08-15,sell,store,|Argentina|Capital Federal|Palermo|,"-34.5580305,-58.4170088",-34.5580305,-58.4170088,50000.0,20.0,20.0,2500.0,,,,https://www.properati.com.ar/1d86m_venta_local_palermo_santa-fe-av-_4400_subte-linea-d_gaed-inmobiliaria,PALERMO,14.0
2017-08-15,sell,store,|Argentina|Capital Federal|Palermo|,"-34.589246,-58.4140598",-34.589246,-58.4140598,220000.0,31.0,31.0,7096.774193548387,,1.0,1045.0,https://www.properati.com.ar/1d8mr_venta_local_palermo_impecable_geraci-propiedades_gkz,PALERMO,14.0
2017-08-16,sell,store,|Argentina|Capital Federal|Barrio Norte|,"-34.584198,-58.4152675",-34.584198,-58.415267500000006,170000.0,70.0,70.0,2428.5714285714284,,,2800.0,https://www.properati.com.ar/1dcnv_venta_local_barrio-norte_arenales_3800_subte-linea-d_zuker-servicios-inmobiliarios_gsp,PALERMO,14.0
2017-08-16,sell,store,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,"-34.5841882044,-58.4431635937",-34.5841882044,-58.4431635937,360000.0,193.0,176.0,1865.2849740932645,,,,https://www.properati.com.ar/1dd77_venta_local_palermo-hollywood_balcon_lavadero_terraza_metro-estudio-inmobiliario,PALERMO,14.0
2017-08-18,sell,store,|Argentina|Capital Federal|Palermo|,"-34.577645,-58.433104",-34.577645000000004,-58.43310400000001,219000.0,84.0,84.0,2607.142857142857,,,,https://www.properati.com.ar/1di5h_venta_local_palermo_subte-linea-d_re-max-ra-iacute-ces,PALERMO,14.0
2017-08-26,sell,store,|Argentina|Capital Federal|Belgrano|,"-34.5699614,-58.4323397",-34.5699614,-58.4323397,685000.0,185.0,185.0,3702.7027027027034,,,,https://www.properati.com.ar/1dv8b_venta_local_belgrano_subte-linea-d_maxi-totah-operaciones-inmobiliarias_e2l,PALERMO,14.0
