  userID,Track,artist,genre,  City  ,time,Day
FFB692EC,Kamigata To Boots,The Mass Missile,rock,Shelbyville,20:28:33,Wednesday
55204538,Delayed Because of Accident,Andreas Rönnberg,rock,Springfield,14:07:09,Friday
20EC38,Funiculì funiculà,Mario Lanza,pop,Shelbyville,20:58:07,Wednesday
A3DD03C9,Dragons in the Sunset,Fire + Ice,folk,Shelbyville,08:37:09,Monday
E2DC1FAE,Soul People,Space Echo,dance,Springfield,08:34:34,Monday
842029A1,Chains,Obladaet,rusrap,Shelbyville,13:09:41,Friday
4CB90AA5,True,Roman Messer,dance,Springfield,13:00:07,Wednesday
F03E1C1F,Feeling This Way,Polina Griffith,dance,Springfield,20:47:49,Wednesday
8FA1D3BE,L’estate,Julia Dalia,ruspop,Springfield,09:17:40,Friday
E772D5C0,Pessimist,,dance,Shelbyville,21:20:49,Wednesday
BC5A3A29,Gool la Mita,Shireen Abdul Wahab,world,Springfield,14:08:42,Monday
8B5192C0,Is There Anybody Out There? (Panoramic Paralysis) Mix,Pink Floyd Floydhead,electronic,Springfield,13:47:49,Monday
FF3FD2BD,Truth,Bamboo,pop,Springfield,09:19:49,Monday
CC782B0F,After School Special,Detroit Grand Pubahs,dance,Springfield,20:04:12,Friday
94EB25C2,Make Love Whenever You Can,Arabesque,pop,Shelbyville,13:22:08,Wednesday
E3C5756F,,,,Springfield,09:24:51,Monday
81D05C7D,SLAVES OF FEAR,HEALTH,alternative,Shelbyville,20:54:48,Monday
39DE290E,Hallo Hallo,Die Klima Hawaiians,folk,Shelbyville,14:36:47,Monday
58AE138A,Pat-a-Cake,Mother Goose Club,children,Shelbyville,20:04:56,Monday
772F5B59,Sweetback,The Fabulous Three,rnb,Springfield,13:56:42,Wednesday
201CF2A8,Ya'll In Trouble,Lil Tee Chill Tank Young Buck Brother Mohammed and Tara,hip,Springfield,08:46:03,Monday
44B8E869,Nanovirus,Exotype,rock,Springfield,21:36:40,Monday
B8E29C9C,The Drunken Scotsman,Ménage à Moi,folk,Shelbyville,20:20:49,Wednesday
A729591B,Gavotte,Hachidai Nakamura,jazz,Springfield,13:56:00,Monday
8BA8855,A Universal Weakness,Lowercase Noises,postrock,Shelbyville,21:17:25,Wednesday
A4504035,Cradle in Bethlehem,Nat King Cole,jazz,Shelbyville,09:23:01,Wednesday
982219FD,We Not Speak Americano,Genio Band,pop,Shelbyville,20:03:03,Monday
9CC6AA46,Mucho Corazón,Buena Vista Social Club,latin,Springfield,14:06:22,Monday
D8D698A9,Romantici,Viola Valentino,pop,Springfield,08:23:21,Wednesday
5661F63E,"Purcell: Dido and Aeneas / Act 3 - ""See the flags"" - Destruction's our delight - The Wit- ches' Dance",Teresa Shaw,classical,Shelbyville,08:33:58,Wednesday
EBA5A8B2,Päivän Nousu Nostajani,Värttinä,world,Shelbyville,08:00:31,Friday
F6A44469,Veritas Universalis,Devathorn,metal,Shelbyville,20:19:42,Friday
84AFC19A,Carry On,Young Rising Sons,alternative,Shelbyville,20:24:51,Monday
809CAFB1,Break Me Down,Steve Angello,dance,Springfield,14:42:31,Monday
B416A40F,Maybe,Maria Michelle,ruspop,Springfield,14:49:21,Friday
A8AE9169,,,,Springfield,08:56:10,Monday
FCDF1C8E,Nasebanaru,Zen,reggae,Springfield,20:19:36,Wednesday
C800FA98,Body Talk,Ratt,rock,Springfield,08:45:16,Monday
14FBD1E5,Solteras,Beauty Brain,dance,Shelbyville,20:33:11,Friday
2CF53316,Chicago New York,The Aislers Set,alternative,Shelbyville,20:29:00,Wednesday
77979A66,Sci-Fi,,rusrap,Shelbyville,08:45:43,Monday
9202C4F4,Good Morning Sunshine,Brick,rnb,Shelbyville,21:54:19,Monday
F9AD83A7,Fancy,Grey Killer,triphop,Springfield,14:53:39,Friday
9A22399C,Sweet October,Ministers of Music,dance,Springfield,20:32:33,Friday
CD0BE030,Falling for Me,Benson Taylor,pop,Springfield,09:21:00,Friday
E6072F55,SOS,Peter Cetera,pop,Springfield,20:10:04,Wednesday
825997A5,Glorious Feeling,Joelistics,hip,Springfield,21:46:34,Friday
A1749681,Downfall,The Voss,dance,Shelbyville,20:07:58,Monday
8D0DCE83,Little Bitty Pretty One,Thurston Harris,blues,Springfield,09:41:14,Friday
